 , Accuracy, AUROC, F1-Score, Precision, Recall
Randomized 0 times, 0.7317880794701986, 0.7118624720332405, 0.784, 0.7577319587628866, 0.8121546961325967 
Randomized 1 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 2 times, 0.4735099337748344, 0.44297064061001784, 0.576, 0.5567010309278351, 0.5966850828729282 
Randomized 3 times, 0.5529801324503312, 0.5257065887402402, 0.64, 0.6185567010309279, 0.6629834254143646 
Randomized 4 times, 0.5529801324503312, 0.5257065887402402, 0.64, 0.6185567010309279, 0.6629834254143646 
Randomized 5 times, 0.5, 0.4705492899867586, 0.5973333333333333, 0.5773195876288659, 0.6187845303867403 
Randomized 6 times, 0.4867549668874172, 0.4567599652983882, 0.5866666666666666, 0.5670103092783505, 0.6077348066298343 
Randomized 7 times, 0.4602649006622517, 0.42918131592164743, 0.5653333333333332, 0.5463917525773195, 0.585635359116022 
Randomized 8 times, 0.5264900662251656, 0.4981279393634994, 0.6186666666666666, 0.5979381443298969, 0.6408839779005525 
Randomized 9 times, 0.5264900662251656, 0.4981279393634994, 0.6186666666666666, 0.5979381443298969, 0.6408839779005525 
Randomized 10 times, 0.5198675496688742, 0.4912332770193142, 0.6133333333333334, 0.5927835051546392, 0.6353591160220995 
Randomized 11 times, 0.5397350993377483, 0.5119172640518698, 0.6293333333333333, 0.6082474226804123, 0.6519337016574586 
Randomized 12 times, 0.5331125827814569, 0.5050226017076846, 0.6239999999999999, 0.6030927835051546, 0.6464088397790055 
Randomized 13 times, 0.5331125827814569, 0.5050226017076846, 0.6239999999999999, 0.6030927835051546, 0.6464088397790055 
Randomized 14 times, 0.5264900662251656, 0.4981279393634994, 0.6186666666666666, 0.5979381443298969, 0.6408839779005525 
Randomized 15 times, 0.5397350993377483, 0.5119172640518698, 0.6293333333333333, 0.6082474226804123, 0.6519337016574586 
Randomized 16 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 17 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 18 times, 0.5066225165562914, 0.47744395233094383, 0.6026666666666666, 0.5824742268041238, 0.6243093922651933 
Randomized 19 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 20 times, 0.46688741721854304, 0.43607597826583255, 0.5706666666666667, 0.5515463917525774, 0.5911602209944752 
Randomized 21 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 22 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 23 times, 0.5728476821192053, 0.5463905757727958, 0.6559999999999999, 0.634020618556701, 0.6795580110497238 
Randomized 24 times, 0.4602649006622517, 0.42918131592164743, 0.5653333333333332, 0.5463917525773195, 0.585635359116022 
Randomized 25 times, 0.5728476821192053, 0.5463905757727958, 0.6559999999999999, 0.634020618556701, 0.6795580110497238 
Randomized 26 times, 0.5529801324503312, 0.5257065887402402, 0.64, 0.6185567010309279, 0.6629834254143646 
Randomized 27 times, 0.5596026490066225, 0.5326012510844254, 0.6453333333333333, 0.6237113402061856, 0.6685082872928176 
Randomized 28 times, 0.5, 0.4705492899867586, 0.5973333333333333, 0.5773195876288659, 0.6187845303867403 
Randomized 29 times, 0.5066225165562914, 0.47744395233094383, 0.6026666666666666, 0.5824742268041238, 0.6243093922651933 
Randomized 30 times, 0.5198675496688742, 0.4912332770193142, 0.6133333333333334, 0.5927835051546392, 0.6353591160220995 
Randomized 31 times, 0.5463576158940397, 0.5188119263960549, 0.6346666666666667, 0.6134020618556701, 0.6574585635359116 
Randomized 32 times, 0.5066225165562914, 0.47744395233094383, 0.6026666666666666, 0.5824742268041238, 0.6243093922651933 
Randomized 33 times, 0.5198675496688742, 0.4912332770193142, 0.6133333333333334, 0.5927835051546392, 0.6353591160220995 
Randomized 34 times, 0.4867549668874172, 0.4567599652983882, 0.5866666666666666, 0.5670103092783505, 0.6077348066298343 
Randomized 35 times, 0.4867549668874172, 0.4567599652983882, 0.5866666666666666, 0.5670103092783505, 0.6077348066298343 
Randomized 36 times, 0.46688741721854304, 0.43607597826583255, 0.5706666666666667, 0.5515463917525774, 0.5911602209944752 
Randomized 37 times, 0.5860927152317881, 0.5601799004611661, 0.6666666666666667, 0.6443298969072165, 0.6906077348066298 
Randomized 38 times, 0.5397350993377483, 0.5119172640518698, 0.6293333333333333, 0.6082474226804123, 0.6519337016574586 
Randomized 39 times, 0.5927152317880795, 0.5670745628053513, 0.672, 0.6494845360824743, 0.6961325966850829 
Randomized 40 times, 0.5, 0.4705492899867586, 0.5973333333333333, 0.5773195876288659, 0.6187845303867403 
Randomized 41 times, 0.5, 0.4705492899867586, 0.5973333333333333, 0.5773195876288659, 0.6187845303867403 
Randomized 42 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 43 times, 0.48013245033112584, 0.449865302954203, 0.5813333333333334, 0.5618556701030928, 0.6022099447513812 
Randomized 44 times, 0.49337748344370863, 0.46365462764257337, 0.592, 0.5721649484536082, 0.6132596685082873 
Randomized 45 times, 0.5066225165562914, 0.47744395233094383, 0.6026666666666666, 0.5824742268041238, 0.6243093922651933 
Randomized 46 times, 0.5198675496688742, 0.4912332770193142, 0.6133333333333334, 0.5927835051546392, 0.6353591160220995 
Randomized 47 times, 0.5927152317880795, 0.5670745628053513, 0.672, 0.6494845360824743, 0.6961325966850829 
Randomized 48 times, 0.5132450331125827, 0.48433861467512895, 0.6079999999999999, 0.5876288659793815, 0.6298342541436464 
Randomized 49 times, 0.5132450331125827, 0.48433861467512895, 0.6079999999999999, 0.5876288659793815, 0.6298342541436464 
